crime_rate,residential_land,nitric_oxides,avg_room,weighted_distances,radial_highways,property_tax,pupil_teacher,corporate_proportion,lower_status,homes_under_1000
0.00632,18,0.538,6.575,4.09,1,296,15.3,396.9,4.98,24
0.02731,0,0.469,6.421,4.9671,2,242,17.8,396.9,9.14,21.6
0.02729,0,0.469,7.185,4.9671,2,242,17.8,392.83,4.03,34.7
0.03237,0,0.458,6.998,6.0622,3,222,18.7,394.63,2.94,33.4
0.06905,0,0.458,7.147,6.0622,3,222,18.7,396.9,5.33,36.2
0.02985,0,0.458,6.43,6.0622,3,222,18.7,394.12,5.21,28.7
0.08829,12.5,0.524,6.012,5.5605,5,311,15.2,395.6,12.43,22.9
0.14455,12.5,0.524,6.172,5.9505,5,311,15.2,396.9,19.15,27.1
0.21124,12.5,0.524,5.631,6.0821,5,311,15.2,386.63,29.93,16.5
0.17004,12.5,0.524,6.004,6.5921,5,311,15.2,386.71,17.1,18.9
0.22489,12.5,0.524,6.377,6.3467,5,311,15.2,392.52,20.45,15
0.11747,12.5,0.524,6.009,6.2267,5,311,15.2,396.9,13.27,18.9
0.09378,12.5,0.524,5.889,5.4509,5,311,15.2,390.5,15.71,21.7
0.62976,0,0.538,5.949,4.7075,4,307,21,396.9,8.26,20.4
0.63796,0,0.538,6.096,4.4619,4,307,21,380.02,10.26,18.2
0.62739,0,0.538,5.834,4.4986,4,307,21,395.62,8.47,19.9
1.05393,0,0.538,5.935,4.4986,4,307,21,386.85,6.58,23.1
0.7842,0,0.538,5.99,4.2579,4,307,21,386.75,14.67,17.5
0.80271,0,0.538,5.456,3.7965,4,307,21,288.99,11.69,20.2
0.7258,0,0.538,5.727,3.7965,4,307,21,390.95,11.28,18.2
1.25179,0,0.538,5.57,3.7979,4,307,21,376.57,21.02,13.6
0.85204,0,0.538,5.965,4.0123,4,307,21,392.53,13.83,19.6
1.23247,0,0.538,6.142,3.9769,4,307,21,396.9,18.72,15.2
0.98843,0,0.538,5.813,4.0952,4,307,21,394.54,19.88,14.5
0.75026,0,0.538,5.924,4.3996,4,307,21,394.33,16.3,15.6
0.84054,0,0.538,5.599,4.4546,4,307,21,303.42,16.51,13.9
0.67191,0,0.538,5.813,4.682,4,307,21,376.88,14.81,16.6
0.95577,0,0.538,6.047,4.4534,4,307,21,306.38,17.28,14.8
0.77299,0,0.538,6.495,4.4547,4,307,21,387.94,12.8,18.4
1.00245,0,0.538,6.674,4.239,4,307,21,380.23,11.98,21
1.13081,0,0.538,5.713,4.233,4,307,21,360.17,22.6,12.7
1.35472,0,0.538,6.072,4.175,4,307,21,376.73,13.04,14.5
1.38799,0,0.538,5.95,3.99,4,307,21,232.6,27.71,13.2
1.15172,0,0.538,5.701,3.7872,4,307,21,358.77,18.35,13.1
1.61282,0,0.538,6.096,3.7598,4,307,21,248.31,20.34,13.5
0.06417,0,0.499,5.933,3.3603,5,279,19.2,396.9,9.68,18.9
0.09744,0,0.499,5.841,3.3779,5,279,19.2,377.56,11.41,20
0.08014,0,0.499,5.85,3.9342,5,279,19.2,396.9,8.77,21
0.17505,0,0.499,5.966,3.8473,5,279,19.2,393.43,10.13,24.7
0.02763,75,0.428,6.595,5.4011,3,252,18.3,395.63,4.32,30.8
0.03359,75,0.428,7.024,5.4011,3,252,18.3,395.62,1.98,34.9
0.12744,0,0.448,6.77,5.7209,3,233,17.9,385.41,4.84,26.6
0.1415,0,0.448,6.169,5.7209,3,233,17.9,383.37,5.81,25.3
0.15936,0,0.448,6.211,5.7209,3,233,17.9,394.46,7.44,24.7
0.12269,0,0.448,6.069,5.7209,3,233,17.9,389.39,9.55,21.2
0.17142,0,0.448,5.682,5.1004,3,233,17.9,396.9,10.21,19.3
0.18836,0,0.448,5.786,5.1004,3,233,17.9,396.9,14.15,20
0.22927,0,0.448,6.03,5.6894,3,233,17.9,392.74,18.8,16.6
0.25387,0,0.448,5.399,5.87,3,233,17.9,396.9,30.81,14.4
0.21977,0,0.448,5.602,6.0877,3,233,17.9,396.9,16.2,19.4
0.08873,21,0.439,5.963,6.8147,4,243,16.8,395.56,13.45,19.7
0.04337,21,0.439,6.115,6.8147,4,243,16.8,393.97,9.43,20.5
0.0536,21,0.439,6.511,6.8147,4,243,16.8,396.9,5.28,25
0.04981,21,0.439,5.998,6.8147,4,243,16.8,396.9,8.43,23.4
0.0136,75,0.41,5.888,7.3197,3,469,21.1,396.9,14.8,18.9
0.01311,90,0.403,7.249,8.6966,5,226,17.9,395.93,4.81,35.4
0.02055,85,0.41,6.383,9.1876,2,313,17.3,396.9,5.77,24.7
0.01432,100,0.411,6.816,8.3248,5,256,15.1,392.9,3.95,31.6
0.15445,25,0.453,6.145,7.8148,8,284,19.7,390.68,6.86,23.3
0.10328,25,0.453,5.927,6.932,8,284,19.7,396.9,9.22,19.6
0.14932,25,0.453,5.741,7.2254,8,284,19.7,395.11,13.15,18.7
0.17171,25,0.453,5.966,6.8185,8,284,19.7,378.08,14.44,16
0.11027,25,0.453,6.456,7.2255,8,284,19.7,396.9,6.73,22.2
0.1265,25,0.453,6.762,7.9809,8,284,19.7,395.58,9.5,25
0.01951,17.5,0.4161,7.104,9.2229,3,216,18.6,393.24,8.05,33
0.03584,80,0.398,6.29,6.6115,4,337,16.1,396.9,4.67,23.5
0.04379,80,0.398,5.787,6.6115,4,337,16.1,396.9,10.24,19.4
0.05789,12.5,0.409,5.878,6.498,4,345,18.9,396.21,8.1,22
0.13554,12.5,0.409,5.594,6.498,4,345,18.9,396.9,13.09,17.4
0.12816,12.5,0.409,5.885,6.498,4,345,18.9,396.9,8.79,20.9
0.08826,0,0.413,6.417,5.2873,4,305,19.2,383.73,6.72,24.2
0.15876,0,0.413,5.961,5.2873,4,305,19.2,376.94,9.88,21.7
0.09164,0,0.413,6.065,5.2873,4,305,19.2,390.91,5.52,22.8
0.19539,0,0.413,6.245,5.2873,4,305,19.2,377.17,7.54,23.4
0.07896,0,0.437,6.273,4.2515,5,398,18.7,394.92,6.78,24.1
0.09512,0,0.437,6.286,4.5026,5,398,18.7,383.23,8.94,21.4
0.10153,0,0.437,6.279,4.0522,5,398,18.7,373.66,11.97,20
0.08707,0,0.437,6.14,4.0905,5,398,18.7,386.96,10.27,20.8
0.05646,0,0.437,6.232,5.0141,5,398,18.7,386.4,12.34,21.2
0.08387,0,0.437,5.874,4.5026,5,398,18.7,396.06,9.1,20.3
0.04113,25,0.426,6.727,5.4007,4,281,19,396.9,5.29,28
0.04462,25,0.426,6.619,5.4007,4,281,19,395.63,7.22,23.9
0.03659,25,0.426,6.302,5.4007,4,281,19,396.9,6.72,24.8
0.03551,25,0.426,6.167,5.4007,4,281,19,390.64,7.51,22.9
0.05059,0,0.449,6.389,4.7794,3,247,18.5,396.9,9.62,23.9
0.05735,0,0.449,6.63,4.4377,3,247,18.5,392.3,6.53,26.6
0.05188,0,0.449,6.015,4.4272,3,247,18.5,395.99,12.86,22.5
0.07151,0,0.449,6.121,3.7476,3,247,18.5,395.15,8.44,22.2
0.0566,0,0.489,7.007,3.4217,2,270,17.8,396.9,5.5,23.6
0.05302,0,0.489,7.079,3.4145,2,270,17.8,396.06,5.7,28.7
0.04684,0,0.489,6.417,3.0923,2,270,17.8,392.18,8.81,22.6
0.03932,0,0.489,6.405,3.0921,2,270,17.8,393.55,8.2,22
0.04203,28,0.464,6.442,3.6659,4,270,18.2,395.01,8.16,22.9
0.02875,28,0.464,6.211,3.6659,4,270,18.2,396.33,6.21,25
0.04294,28,0.464,6.249,3.615,4,270,18.2,396.9,10.59,20.6
0.12204,0,0.445,6.625,3.4952,2,276,18,357.98,6.65,28.4
0.11504,0,0.445,6.163,3.4952,2,276,18,391.83,11.34,21.4
0.12083,0,0.445,8.069,3.4952,2,276,18,396.9,4.21,38.7
0.08187,0,0.445,7.82,3.4952,2,276,18,393.53,3.57,43.8
0.0686,0,0.445,7.416,3.4952,2,276,18,396.9,6.19,33.2
0.14866,0,0.52,6.727,2.7778,5,384,20.9,394.76,9.42,27.5
0.11432,0,0.52,6.781,2.8561,5,384,20.9,395.58,7.67,26.5
0.22876,0,0.52,6.405,2.7147,5,384,20.9,70.8,10.63,18.6
0.21161,0,0.52,6.137,2.7147,5,384,20.9,394.47,13.44,19.3
0.1396,0,0.52,6.167,2.421,5,384,20.9,392.69,12.33,20.1
0.13262,0,0.52,5.851,2.1069,5,384,20.9,394.05,16.47,19.5
0.1712,0,0.52,5.836,2.211,5,384,20.9,395.67,18.66,19.5
0.13117,0,0.52,6.127,2.1224,5,384,20.9,387.69,14.09,20.4
0.12802,0,0.52,6.474,2.4329,5,384,20.9,395.24,12.27,19.8
0.26363,0,0.52,6.229,2.5451,5,384,20.9,391.23,15.55,19.4
0.10793,0,0.52,6.195,2.7778,5,384,20.9,393.49,13,21.7
0.10084,0,0.547,6.715,2.6775,6,432,17.8,395.59,10.16,22.8
0.12329,0,0.547,5.913,2.3534,6,432,17.8,394.95,16.21,18.8
0.22212,0,0.547,6.092,2.548,6,432,17.8,396.9,17.09,18.7
0.14231,0,0.547,6.254,2.2565,6,432,17.8,388.74,10.45,18.5
0.17134,0,0.547,5.928,2.4631,6,432,17.8,344.91,15.76,18.3
0.13158,0,0.547,6.176,2.7301,6,432,17.8,393.3,12.04,21.2
0.15098,0,0.547,6.021,2.7474,6,432,17.8,394.51,10.3,19.2
0.13058,0,0.547,5.872,2.4775,6,432,17.8,338.63,15.37,20.4
0.14476,0,0.547,5.731,2.7592,6,432,17.8,391.5,13.61,19.3
0.06899,0,0.581,5.87,2.2577,2,188,19.1,389.15,14.37,22
0.07165,0,0.581,6.004,2.1974,2,188,19.1,377.67,14.27,20.3
0.09299,0,0.581,5.961,2.0869,2,188,19.1,378.09,17.93,20.5
0.15038,0,0.581,5.856,1.9444,2,188,19.1,370.31,25.41,17.3
0.09849,0,0.581,5.879,2.0063,2,188,19.1,379.38,17.58,18.8
0.16902,0,0.581,5.986,1.9929,2,188,19.1,385.02,14.81,21.4
0.38735,0,0.581,5.613,1.7572,2,188,19.1,359.29,27.26,15.7
0.25915,0,0.624,5.693,1.7883,4,437,21.2,392.11,17.19,16.2
0.32543,0,0.624,6.431,1.8125,4,437,21.2,396.9,15.39,18
0.88125,0,0.624,5.637,1.9799,4,437,21.2,396.9,18.34,14.3
0.34006,0,0.624,6.458,2.1185,4,437,21.2,395.04,12.6,19.2
1.19294,0,0.624,6.326,2.271,4,437,21.2,396.9,12.26,19.6
0.59005,0,0.624,6.372,2.3274,4,437,21.2,385.76,11.12,23
0.32982,0,0.624,5.822,2.4699,4,437,21.2,388.69,15.03,18.4
0.97617,0,0.624,5.757,2.346,4,437,21.2,262.76,17.31,15.6
0.55778,0,0.624,6.335,2.1107,4,437,21.2,394.67,16.96,18.1
0.32264,0,0.624,5.942,1.9669,4,437,21.2,378.25,16.9,17.4
0.35233,0,0.624,6.454,1.8498,4,437,21.2,394.08,14.59,17.1
0.2498,0,0.624,5.857,1.6686,4,437,21.2,392.04,21.32,13.3
0.54452,0,0.624,6.151,1.6687,4,437,21.2,396.9,18.46,17.8
0.2909,0,0.624,6.174,1.6119,4,437,21.2,388.08,24.16,14
1.62864,0,0.624,5.019,1.4394,4,437,21.2,396.9,34.41,14.4
3.32105,0,0.871,5.403,1.3216,5,403,14.7,396.9,26.82,13.4
4.0974,0,0.871,5.468,1.4118,5,403,14.7,396.9,26.42,15.6
2.77974,0,0.871,4.903,1.3459,5,403,14.7,396.9,29.29,11.8
2.37934,0,0.871,6.13,1.4191,5,403,14.7,172.91,27.8,13.8
2.15505,0,0.871,5.628,1.5166,5,403,14.7,169.27,16.65,15.6
2.36862,0,0.871,4.926,1.4608,5,403,14.7,391.71,29.53,14.6
2.33099,0,0.871,5.186,1.5296,5,403,14.7,356.99,28.32,17.8
2.73397,0,0.871,5.597,1.5257,5,403,14.7,351.85,21.45,15.4
1.6566,0,0.871,6.122,1.618,5,403,14.7,372.8,14.1,21.5
1.49632,0,0.871,5.404,1.5916,5,403,14.7,341.6,13.28,19.6
1.12658,0,0.871,5.012,1.6102,5,403,14.7,343.28,12.12,15.3
2.14918,0,0.871,5.709,1.6232,5,403,14.7,261.95,15.79,19.4
1.41385,0,0.871,6.129,1.7494,5,403,14.7,321.02,15.12,17
3.53501,0,0.871,6.152,1.7455,5,403,14.7,88.01,15.02,15.6
2.44668,0,0.871,5.272,1.7364,5,403,14.7,88.63,16.14,13.1
1.22358,0,0.605,6.943,1.8773,5,403,14.7,363.43,4.59,41.3
1.34284,0,0.605,6.066,1.7573,5,403,14.7,353.89,6.43,24.3
1.42502,0,0.871,6.51,1.7659,5,403,14.7,364.31,7.39,23.3
1.27346,0,0.605,6.25,1.7984,5,403,14.7,338.92,5.5,27
1.46336,0,0.605,7.489,1.9709,5,403,14.7,374.43,1.73,50
1.83377,0,0.605,7.802,2.0407,5,403,14.7,389.61,1.92,50
1.51902,0,0.605,8.375,2.162,5,403,14.7,388.45,3.32,50
2.24236,0,0.605,5.854,2.422,5,403,14.7,395.11,11.64,22.7
2.924,0,0.605,6.101,2.2834,5,403,14.7,240.16,9.81,25
2.01019,0,0.605,7.929,2.0459,5,403,14.7,369.3,3.7,50
1.80028,0,0.605,5.877,2.4259,5,403,14.7,227.61,12.14,23.8
2.3004,0,0.605,6.319,2.1,5,403,14.7,297.09,11.1,23.8
2.44953,0,0.605,6.402,2.2625,5,403,14.7,330.04,11.32,22.3
1.20742,0,0.605,5.875,2.4259,5,403,14.7,292.29,14.43,17.4
2.3139,0,0.605,5.88,2.3887,5,403,14.7,348.13,12.03,19.1
0.13914,0,0.51,5.572,2.5961,5,296,16.6,396.9,14.69,23.1
0.09178,0,0.51,6.416,2.6463,5,296,16.6,395.5,9.04,23.6
0.08447,0,0.51,5.859,2.7019,5,296,16.6,393.23,9.64,22.6
0.06664,0,0.51,6.546,3.1323,5,296,16.6,390.96,5.33,29.4
0.07022,0,0.51,6.02,3.5549,5,296,16.6,393.23,10.11,23.2
0.05425,0,0.51,6.315,3.3175,5,296,16.6,395.6,6.29,24.6
0.06642,0,0.51,6.86,2.9153,5,296,16.6,391.27,6.92,29.9
0.0578,0,0.488,6.98,2.829,3,193,17.8,396.9,5.04,37.2
0.06588,0,0.488,7.765,2.741,3,193,17.8,395.56,7.56,39.8
0.06888,0,0.488,6.144,2.5979,3,193,17.8,396.9,9.45,36.2
0.09103,0,0.488,7.155,2.7006,3,193,17.8,394.12,4.82,37.9
0.10008,0,0.488,6.563,2.847,3,193,17.8,396.9,5.68,32.5
0.08308,0,0.488,5.604,2.9879,3,193,17.8,391,13.98,26.4
0.06047,0,0.488,6.153,3.2797,3,193,17.8,387.11,13.15,29.6
0.05602,0,0.488,7.831,3.1992,3,193,17.8,392.63,4.45,50
0.07875,45,0.437,6.782,3.7886,5,398,15.2,393.87,6.68,32
0.12579,45,0.437,6.556,4.5667,5,398,15.2,382.84,4.56,29.8
0.0837,45,0.437,7.185,4.5667,5,398,15.2,396.9,5.39,34.9
0.09068,45,0.437,6.951,6.4798,5,398,15.2,377.68,5.1,37
0.06911,45,0.437,6.739,6.4798,5,398,15.2,389.71,4.69,30.5
0.08664,45,0.437,7.178,6.4798,5,398,15.2,390.49,2.87,36.4
0.02187,60,0.401,6.8,6.2196,1,265,15.6,393.37,5.03,31.1
0.01439,60,0.401,6.604,6.2196,1,265,15.6,376.7,4.38,29.1
0.01381,80,0.422,7.875,5.6484,4,255,14.4,394.23,2.97,50
0.04011,80,0.404,7.287,7.309,2,329,12.6,396.9,4.08,33.3
0.04666,80,0.404,7.107,7.309,2,329,12.6,354.31,8.61,30.3
0.03768,80,0.404,7.274,7.309,2,329,12.6,392.2,6.62,34.6
0.0315,95,0.403,6.975,7.6534,3,402,17,396.9,4.56,34.9
0.01778,95,0.403,7.135,7.6534,3,402,17,384.3,4.45,32.9
0.03445,82.5,0.415,6.162,6.27,2,348,14.7,393.77,7.43,24.1
0.02177,82.5,0.415,7.61,6.27,2,348,14.7,395.38,3.11,42.3
0.0351,95,0.4161,7.853,5.118,4,224,14.7,392.78,3.81,48.5
0.02009,95,0.4161,8.034,5.118,4,224,14.7,390.55,2.88,50
0.13642,0,0.489,5.891,3.9454,4,277,18.6,396.9,10.87,22.6
0.22969,0,0.489,6.326,4.3549,4,277,18.6,394.87,10.97,24.4
0.25199,0,0.489,5.783,4.3549,4,277,18.6,389.43,18.06,22.5
0.13587,0,0.489,6.064,4.2392,4,277,18.6,381.32,14.66,24.4
0.43571,0,0.489,5.344,3.875,4,277,18.6,396.9,23.09,20
0.17446,0,0.489,5.96,3.8771,4,277,18.6,393.25,17.27,21.7
0.37578,0,0.489,5.404,3.665,4,277,18.6,395.24,23.98,19.3
0.21719,0,0.489,5.807,3.6526,4,277,18.6,390.94,16.03,22.4
0.14052,0,0.489,6.375,3.9454,4,277,18.6,385.81,9.38,28.1
0.28955,0,0.489,5.412,3.5875,4,277,18.6,348.93,29.55,23.7
0.19802,0,0.489,6.182,3.9454,4,277,18.6,393.63,9.47,25
0.0456,0,0.55,5.888,3.1121,5,276,16.4,392.8,13.51,23.3
0.07013,0,0.55,6.642,3.4211,5,276,16.4,392.78,9.69,28.7
0.11069,0,0.55,5.951,2.8893,5,276,16.4,396.9,17.92,21.5
0.11425,0,0.55,6.373,3.3633,5,276,16.4,393.74,10.5,23
0.35809,0,0.507,6.951,2.8617,8,307,17.4,391.7,9.71,26.7
0.40771,0,0.507,6.164,3.048,8,307,17.4,395.24,21.46,21.7
0.62356,0,0.507,6.879,3.2721,8,307,17.4,390.39,9.93,27.5
0.6147,0,0.507,6.618,3.2721,8,307,17.4,396.9,7.6,30.1
0.31533,0,0.504,8.266,2.8944,8,307,17.4,385.05,4.14,44.8
0.52693,0,0.504,8.725,2.8944,8,307,17.4,382,4.63,50
0.38214,0,0.504,8.04,3.2157,8,307,17.4,387.38,3.13,37.6
0.41238,0,0.504,7.163,3.2157,8,307,17.4,372.08,6.36,31.6
0.29819,0,0.504,7.686,3.3751,8,307,17.4,377.51,3.92,46.7
0.44178,0,0.504,6.552,3.3751,8,307,17.4,380.34,3.76,31.5
0.537,0,0.504,5.981,3.6715,8,307,17.4,378.35,11.65,24.3
0.46296,0,0.504,7.412,3.6715,8,307,17.4,376.14,5.25,31.7
0.57529,0,0.507,8.337,3.8384,8,307,17.4,385.91,2.47,41.7
0.33147,0,0.507,8.247,3.6519,8,307,17.4,378.95,3.95,48.3
0.44791,0,0.507,6.726,3.6519,8,307,17.4,360.2,8.05,29
0.33045,0,0.507,6.086,3.6519,8,307,17.4,376.75,10.88,24
0.52058,0,0.507,6.631,4.148,8,307,17.4,388.45,9.54,25.1
0.51183,0,0.507,7.358,4.148,8,307,17.4,390.07,4.73,31.5
0.08244,30,0.428,6.481,6.1899,6,300,16.6,379.41,6.36,23.7
0.09252,30,0.428,6.606,6.1899,6,300,16.6,383.78,7.37,23.3
0.11329,30,0.428,6.897,6.3361,6,300,16.6,391.25,11.38,22
0.10612,30,0.428,6.095,6.3361,6,300,16.6,394.62,12.4,20.1
0.1029,30,0.428,6.358,7.0355,6,300,16.6,372.75,11.22,22.2
0.12757,30,0.428,6.393,7.0355,6,300,16.6,374.71,5.19,23.7
0.20608,22,0.431,5.593,7.9549,7,330,19.1,372.49,12.5,17.6
0.19133,22,0.431,5.605,7.9549,7,330,19.1,389.13,18.46,18.5
0.33983,22,0.431,6.108,8.0555,7,330,19.1,390.18,9.16,24.3
0.19657,22,0.431,6.226,8.0555,7,330,19.1,376.14,10.15,20.5
0.16439,22,0.431,6.433,7.8265,7,330,19.1,374.71,9.52,24.5
0.19073,22,0.431,6.718,7.8265,7,330,19.1,393.74,6.56,26.2
0.1403,22,0.431,6.487,7.3967,7,330,19.1,396.28,5.9,24.4
